web-scraper-order,web-scraper-start-url,club-image-src,club-name,club-description
"1523568745-275","https://knightconnect.campuslabs.com/engage/organizations","https://images.collegiatelink.net/clink/images/f13aca0e-3517-4e5c-821e-42494dead49848e556b7-5ff3-4788-befd-6b05801e2cbc.png?preset=small-sq","Gates Millennium Scholars Campus Based Organization at UCF","To create a campus connecting point for all Gates Scholars at UCF through informal social gatherings and academic support groups. To create opportunities for Gates Scholars on campus to be engaged local citizens by giving back to their communities"
"1523568745-187","https://knightconnect.campuslabs.com/engage/organizations","https://images.collegiatelink.net/clink/images/1022bdc7-d589-4581-817a-739c6d28a3997b7d8dd2-290f-4256-afca-2330f92c6f4b.png?preset=small-sq","College Democrats at UCF","The mission of College Democrats at UCF is to promote the ideals and principles of the Democratic Party by educating students and encouraging participation in the democratic process."
"1523568745-542","https://knightconnect.campuslabs.com/engage/organizations","https://images.collegiatelink.net/clink/images/f4963a14-62a9-4840-b660-272b87d47c9ac8eae30b-d552-4eb3-8334-44cd601cd525.jpg?preset=small-sq","Robotics Club","The Robotics Club at the University of Central Florida is a group of undergraduate and graduate students with a passion for robotics. It is the group's desire to build advanced autonomous robots for competitions and research."
"1523568745-451","https://knightconnect.campuslabs.com/engage/organizations","https://images.collegiatelink.net/clink/images/46fd54f1-b02e-437a-a739-0929ff4fbc785490b0a7-1e32-4b40-adf8-872a5e5c41f7.png?preset=small-sq","Nonprofit Knights at the University of Central Florida","Nonprofit Knights is the “umbrella” student organization for students studying nonprofit management, pursuing the Nonprofit Leadership Alliance (NLA) National Credential, interested in fundraising (Association of Fundraising Professionals)."
"1523568745-349","https://knightconnect.campuslabs.com/engage/organizations","https://images.collegiatelink.net/clink/images/2f00339f-f6d9-4c2e-80ce-27d7c2f51e79f9fdf150-32db-4c53-84b7-7d3b829aec36.png?preset=small-sq","Knight Advocates","We are an organization designed to help students explore different professions in the field of advocacy, while also working to increase campus awareness, promoting prevention and bystander intervention, and helping support similar initiatives at UCF."
"1523568745-290","https://knightconnect.campuslabs.com/engage/organizations","","G","The mission of GIVE @ UCF is to inspire students to make an importance difference across the world. GIVE is an international organization that volunteers abroad in underprivileged countries and helps promote sustainable change."
"1523568745-401","https://knightconnect.campuslabs.com/engage/organizations","https://images.collegiatelink.net/clink/images/81be4b9c-3b54-49ef-86fd-e1d1418b016e3bb6995a-6122-4d3b-9bf5-b760231aeaac.png?preset=small-sq","Love Your Melon","The purpose of Love Your Melon University of Central Florida Campus Crew shall be to help give a hat to every child battling cancer in America, fund childhood cancer research initiatives and provide immediate support for children and their families."
"1523568745-134","https://knightconnect.campuslabs.com/engage/organizations","https://images.collegiatelink.net/clink/images/276a03df-e277-4688-98ac-a0973b4d53d6e84704d4-a7b5-46be-8b5e-28eda32eaec6.jpg?preset=small-sq","Ballroom Dance Club","Ballroom Knights is an open environment where all levels of dancers can learn how to ballroom dance."
"1523568745-598","https://knightconnect.campuslabs.com/engage/organizations","","S","SPIE is the international society for optics and photonics. Our student chapter is affiliated to SPIE, and we aim to create and engage in more diverse career development opportunities, and promote optics and photonics in our society."
"1523568745-588","https://knightconnect.campuslabs.com/engage/organizations","https://images.collegiatelink.net/clink/images/0a638d0f-768b-49b5-90f5-05a3e443606808aa5c0b-11cb-4e3d-81ea-810edb0af6d5.jpg?preset=small-sq","Society of Leadership and Success","We Build Leaders Who Make a Better World"
